年月,総数,中国,香港,台湾,韓国,フィリピン,タイ,シンガポール,マレーシア,インドネシア,インド,ベトナム,英国,ドイツ,フランス,ロシア,イタリア,米国,カナダ,豪州
2003年1月,450847,40824,23793,68464,147238,10224,4020,4112,4218,3925,4238,1086,16746,6065,6445,2484,2357,50765,11587,15405
2003年2月,394869,41864,25924,66734,112988,8728,4252,4522,4525,3026,2994,1130,14308,6655,6748,2780,2227,42567,9300,10967
2003年3月,456614,49676,18437,64225,108871,12081,8970,6682,6417,3862,4291,1657,20696,10711,8747,3323,3538,63847,12650,13170
2003年4月,354054,42706,10703,46418,87477,12196,7836,3259,4743,3936,2884,1483,17783,7710,6829,3298,2403,45911,8253,11959
2003年5月,288562,11280,11195,16983,92072,10988,5342,2845,3685,4989,4164,928,14198,7005,5762,3675,2202,46380,7499,12420
2003年6月,352431,12915,22778,28174,109379,10103,4877,6897,4069,7080,4282,1207,13361,5956,5775,3804,2500,59716,8632,14467
2003年7月,515692,28767,31414,89972,161273,13070,5767,5433,4631,6617,4159,1565,18779,7366,7384,4895,2719,61258,11919,18013
2003年8月,550380,46765,33447,94087,184536,11878,5822,4752,4883,4812,4603,1544,18932,7002,7055,3595,3137,55789,12661,14944
2003年9月,457574,47303,21047,81083,108468,12074,7115,7396,6636,5378,4041,1956,15299,8312,7133,3929,3019,53957,9797,18008
2003年10月,527859,51007,18525,97833,127367,12840,12642,8036,7217,5546,4221,1757,19289,11663,8964,4678,4420,66512,11528,14266
2003年11月,444435,42929,16266,71558,112975,11373,6527,9642,6825,8256,4173,1655,16857,9189,7882,4830,3834,56670,10368,12120
2003年12月,418408,32746,26685,59848,106689,12029,6852,13320,7520,7210,3470,1126,14295,5937,6455,3221,3470,52449,11871,16395
2004年1月,538334,59645,29784,96786,164785,12074,5197,6193,5511,4205,4365,1104,19024,6910,6396,2996,2510,52463,13605,17096
2004年2月,417519,37906,12000,61701,142718,10962,5327,4017,3997,3185,3715,1331,15900,8534,6739,3746,2698,47464,8867,10610
2004年3月,488778,55370,16783,82940,112516,13160,12581,6999,7652,3472,4113,1730,17374,10799,7979,4775,3279,68709,12250,13922
2004年4月,546662,56782,31528,96606,120427,15503,19227,8096,7728,4198,4237,1836,22758,9646,9246,4264,2962,66743,12154,17793
2004年5月,500830,47561,21609,93126,115659,13858,8984,7361,5845,3728,5879,1500,17916,9401,8215,4922,3090,71316,11918,15764
2004年6月,505003,41477,30460,102367,116269,11240,6284,10707,5254,5164,4165,1368,14510,7325,6844,4519,2886,77741,10517,15928
2004年7月,610190,56512,34666,130520,160770,13448,6439,5555,5001,5166,4548,1683,19338,8414,8763,6255,3705,71242,13527,18402
2004年8月,567869,60316,31172,99924,170182,12654,6319,4863,4613,4146,4521,1779,20523,8088,8424,5768,3876,59012,12721,15446
2004年9月,481570,58031,21704,82413,113083,12264,7665,5538,5178,4093,4462,1861,16362,8739,7686,5420,3552,56466,9985,20966
2004年10月,539353,56111,23446,94104,122877,13168,12457,6455,6097,4044,4823,2039,19876,11631,10216,4804,4200,71190,13060,16515
2004年11月,486403,47522,19173,74876,128369,12828,6912,11157,7849,7483,4411,1677,17018,10128,8638,4919,3553,61772,10864,13608
2004年12月,455394,38776,27921,65227,120817,13429,7472,13060,7720,6375,3761,1148,15105,6682,6748,4166,2612,55635,12623,18226
